symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,entry_ref,anchor_err_pct,gross_pnl,exit_reason,hold_days,return_pct
WMT,long,126,2022-07-27,2022-07-29,38.4,40.65,38.64,-0.614,282.57,T1_HIT,2,5.84
WMT,long,126,2022-07-27,2022-08-01,38.4,41.51,38.64,-0.614,391.92,T2_HIT,5,8.1
BA,short,100,2022-07-28,2022-08-02,154.02,167.0,156.09,-1.326,-1298.0,STOP_LOSS,5,-8.43
SBUX,short,265,2022-07-19,2022-08-04,73.24,78.74,72.44,1.098,-1459.56,STOP_LOSS,16,-7.52
META,long,19,2022-07-29,2022-08-04,156.32,166.83,159.32,-1.885,199.84,T1_HIT,6,6.73
MSFT,long,29,2022-05-13,2022-08-09,247.95,270.05,246.02,0.784,641.0,T3_HIT,88,8.91
META,long,19,2022-07-29,2022-08-09,156.32,167.48,159.32,-1.885,212.08,T2_HIT,11,7.14
META,long,39,2022-07-29,2022-08-11,156.32,178.15,159.32,-1.885,851.3,T3_HIT,13,13.96
MU,long,70,2022-08-10,2022-08-11,58.85,60.81,58.01,1.444,137.31,T1_HIT,1,3.33
GS,short,66,2022-07-26,2022-08-12,291.43,320.11,293.56,-0.726,-1893.12,STOP_LOSS,17,-9.84
MU,long,70,2022-08-10,2022-08-12,58.85,61.46,58.01,1.444,182.62,T2_HIT,2,4.43
WMT,long,253,2022-07-27,2022-08-17,38.4,44.08,38.64,-0.614,1437.14,T3_HIT,21,14.79
INTC,long,499,2022-08-01,2022-08-23,33.96,32.33,34.2,-0.713,-811.7,TIME_STOP,22,-4.79
ABBV,long,157,2022-08-01,2022-08-23,122.61,121.0,124.34,-1.392,-253.02,TIME_STOP,22,-1.31
C,short,104,2022-08-11,2022-08-23,47.07,44.76,46.45,1.327,239.75,T1_HIT,12,4.9
WMT,short,110,2022-08-17,2022-08-24,44.08,42.74,44.34,-0.58,147.67,T1_HIT,7,3.05
C,short,104,2022-08-11,2022-08-31,47.07,43.03,46.45,1.327,419.57,T2_HIT,20,8.57
HON,short,108,2022-08-11,2022-09-02,179.24,175.68,178.56,0.381,384.21,TIME_STOP,22,1.98
MU,long,141,2022-08-10,2022-09-08,58.85,53.44,58.01,1.444,-761.99,STOP_LOSS,29,-9.18
AMD,long,39,2022-09-02,2022-09-12,83.32,84.89,82.33,1.202,61.23,T1_HIT,10,1.88
AMAT,long,42,2022-09-02,2022-09-12,90.13,93.76,88.83,1.464,152.39,T1_HIT,10,4.03
NKE,long,49,2022-09-07,2022-09-12,97.81,103.68,97.88,-0.068,287.35,T1_HIT,5,6.0
NVDA,long,182,2022-09-02,2022-09-13,14.06,13.77,13.9,1.158,-53.34,T1_HIT,11,-2.08
IWM,long,28,2022-09-02,2022-09-13,174.37,175.57,172.37,1.16,33.51,T1_HIT,11,0.69
NVDA,long,548,2022-09-02,2022-09-16,14.06,12.71,13.9,1.158,-740.06,STOP_LOSS,14,-9.6
AMD,long,116,2022-09-02,2022-09-16,83.32,75.62,82.33,1.202,-893.2,STOP_LOSS,14,-9.24
HON,long,115,2022-09-09,2022-09-19,172.06,160.13,170.89,0.685,-1371.73,STOP_LOSS,10,-6.93
AAPL,long,32,2022-09-19,2022-09-21,146.45,154.32,147.81,-0.921,252.04,T1_HIT,2,5.38
C,short,207,2022-08-11,2022-09-22,47.07,40.7,46.45,1.327,1317.72,T3_HIT,42,13.53
WMT,short,328,2022-08-17,2022-09-23,44.08,42.27,44.34,-0.58,594.77,POST_T1_STOP,37,4.11
AMAT,long,126,2022-09-02,2022-09-26,90.13,81.56,88.83,1.464,-1080.17,STOP_LOSS,24,-9.51
IWM,long,86,2022-09-02,2022-09-26,174.37,157.96,172.37,1.16,-1410.88,STOP_LOSS,24,-9.41
NKE,long,148,2022-09-07,2022-09-26,97.81,89.45,97.88,-0.068,-1238.51,STOP_LOSS,19,-8.56
KO,short,148,2022-04-22,2022-09-28,58.31,50.73,58.43,-0.2,1122.48,T3_HIT,159,13.01
AAPL,long,97,2022-09-19,2022-10-03,146.45,135.56,147.81,-0.921,-1056.06,STOP_LOSS,14,-7.43
NKE,long,203,2022-09-26,2022-10-03,89.45,77.38,90.31,-0.958,-2448.95,STOP_LOSS,7,-13.49
LLY,short,14,2022-09-29,2022-10-04,323.66,312.23,324.06,-0.123,159.97,T1_HIT,5,3.53
GE,long,116,2022-09-26,2022-10-05,39.45,40.77,39.41,0.099,153.17,T1_HIT,9,3.35
MSFT,long,80,2022-09-19,2022-10-11,234.65,220.28,236.85,-0.927,-1149.71,TIME_STOP,22,-6.12
GOOGL,long,187,2022-09-19,2022-10-11,100.86,96.57,101.9,-1.025,-800.74,TIME_STOP,22,-4.25
JPM,long,47,2022-09-26,2022-10-17,98.02,105.69,99.06,-1.047,360.14,T1_HIT,21,7.82
NKE,long,42,2022-10-11,2022-10-17,80.09,83.34,80.7,-0.756,136.44,T1_HIT,6,4.06
JPM,long,47,2022-09-26,2022-10-18,98.02,109.58,99.06,-1.047,543.06,T2_HIT,22,11.79
BAC,long,160,2022-09-26,2022-10-18,28.47,31.8,28.84,-1.276,532.35,T1_HIT,22,11.69
GE,long,116,2022-09-26,2022-10-18,39.45,42.91,39.41,0.099,401.37,T2_HIT,22,8.77
BAC,long,160,2022-09-26,2022-10-19,28.47,31.44,28.84,-1.276,474.17,T2_HIT,23,10.41
AMZN,long,32,2022-10-14,2022-10-19,114.1,114.71,112.53,1.395,19.52,T1_HIT,5,0.53
JPM,long,93,2022-09-26,2022-10-24,98.02,111.78,99.06,-1.047,1279.82,T3_HIT,28,14.04
GE,long,234,2022-09-26,2022-10-24,39.45,44.63,39.41,0.099,1211.64,T3_HIT,28,13.13
BAC,long,322,2022-09-26,2022-10-26,28.47,32.2,28.84,-1.276,1200.15,T3_HIT,30,13.09
META,long,27,2022-10-24,2022-10-26,126.14,130.53,128.88,-2.124,118.57,T1_HIT,2,3.48
MRK,short,111,2022-05-18,2022-10-27,81.38,89.21,81.76,-0.468,-869.38,STOP_LOSS,162,-9.62
LLY,short,43,2022-09-29,2022-10-27,323.66,347.91,324.06,-0.123,-1042.64,STOP_LOSS,28,-7.49
NKE,long,42,2022-10-11,2022-10-27,80.09,86.46,80.7,-0.756,267.41,T2_HIT,16,7.95
META,long,81,2022-10-24,2022-10-28,126.14,98.71,128.88,-2.124,-2221.76,STOP_LOSS,4,-21.74
AMZN,long,95,2022-10-14,2022-10-31,114.1,103.56,112.53,1.395,-1001.3,STOP_LOSS,17,-9.24
HON,short,107,2022-10-27,2022-11-03,175.93,182.31,173.12,1.622,-682.45,STOP_LOSS,7,-3.63
AMZN,long,106,2022-10-31,2022-11-03,103.56,92.47,103.41,0.145,-1175.54,STOP_LOSS,3,-10.71
NKE,long,83,2022-10-11,2022-11-07,80.09,89.65,80.7,-0.756,793.46,T3_HIT,27,11.94
LMT,short,45,2022-10-25,2022-11-09,410.99,443.3,414.07,-0.745,-1454.14,STOP_LOSS,15,-7.86
GS,short,54,2022-11-03,2022-11-11,317.11,346.77,319.2,-0.655,-1601.51,STOP_LOSS,8,-9.35
SBUX,short,198,2022-11-07,2022-11-14,83.24,88.71,83.41,-0.202,-1082.05,STOP_LOSS,7,-6.57
XOM,short,42,2022-11-15,2022-11-22,100.63,99.22,100.25,0.376,59.05,T1_HIT,7,1.4
CVX,short,113,2022-11-01,2022-11-23,156.48,157.13,153.96,1.639,-72.82,TIME_STOP,22,-0.41
ABBV,short,126,2022-11-15,2022-12-06,134.26,143.57,132.81,1.088,-1173.4,STOP_LOSS,21,-6.94
XOM,short,42,2022-11-15,2022-12-07,100.63,91.77,100.25,0.376,372.13,T2_HIT,22,8.8
WMT,short,357,2022-11-17,2022-12-09,46.77,47.09,47.24,-0.999,-115.38,TIME_STOP,22,-0.69
NFLX,short,111,2022-12-12,2022-12-16,32.0,28.88,32.0,0.0,346.76,T1_HIT,4,9.76
NVDA,short,181,2022-12-14,2022-12-16,17.95,16.83,18.03,-0.46,202.81,T1_HIT,2,6.24
AMAT,short,36,2022-12-14,2022-12-16,108.01,101.02,108.51,-0.459,251.76,T1_HIT,2,6.47
NFLX,short,111,2022-12-12,2022-12-19,32.0,28.97,32.0,0.0,336.0,T2_HIT,7,9.46
MSFT,short,17,2022-12-14,2022-12-19,249.54,237.63,249.34,0.081,202.44,T1_HIT,5,4.77
NVDA,short,181,2022-12-14,2022-12-19,17.95,16.54,18.03,-0.46,255.55,T2_HIT,5,7.87
AMAT,short,36,2022-12-14,2022-12-20,108.01,99.0,108.51,-0.459,324.39,T2_HIT,6,8.34
NFLX,short,221,2022-12-12,2022-12-21,32.0,29.0,32.0,0.0,663.22,T3_HIT,9,9.38
NVDA,short,362,2022-12-14,2022-12-21,17.95,16.08,18.03,-0.46,676.52,T3_HIT,7,10.41
GE,long,91,2022-12-19,2022-12-21,47.27,49.59,47.52,-0.524,211.04,T1_HIT,2,4.91
CVX,long,30,2022-12-19,2022-12-22,145.89,150.22,144.7,0.824,129.93,T1_HIT,3,2.97
MSFT,short,17,2022-12-14,2022-12-23,249.54,229.14,249.34,0.081,346.8,T2_HIT,9,8.17
AMAT,short,70,2022-12-14,2022-12-23,108.01,93.78,108.51,-0.459,996.03,T3_HIT,9,13.17
WFC,long,424,2022-12-07,2022-12-29,39.2,37.43,39.48,-0.721,-748.21,TIME_STOP,22,-4.5
GE,long,91,2022-12-19,2022-12-30,47.27,50.73,47.52,-0.524,315.18,T2_HIT,11,7.33
BAC,long,142,2022-12-12,2023-01-04,29.54,31.0,29.61,-0.224,206.45,T1_HIT,23,4.92
