symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
NFLX,long,70,2022-01-25,2022-02-02,37.91,44.83,483.77,T2_HIT,8,18.23
JPM,long,43,2022-01-25,2022-02-02,128.29,134.4,263.05,T1_HIT,8,4.77
NFLX,long,140,2022-01-25,2022-02-03,37.91,42.14,592.2,T3_HIT,9,11.16
INTC,long,124,2022-01-31,2022-02-04,44.22,44.73,62.63,T1_HIT,4,1.14
BAC,long,140,2022-01-25,2022-02-07,39.58,43.39,534.18,T2_HIT,13,9.64
JPM,long,43,2022-01-25,2022-02-09,128.29,139.84,496.91,T2_HIT,15,9.01
BAC,long,279,2022-01-25,2022-02-09,39.58,43.98,1229.09,T3_HIT,15,11.13
META,long,48,2022-02-07,2022-02-09,235.63,222.25,-642.36,STOP_LOSS,2,-5.68
HD,long,69,2022-01-19,2022-02-10,327.21,319.78,-512.82,TIME_STOP,22,-2.27
MCD,long,97,2022-01-25,2022-02-16,226.08,228.73,257.05,TIME_STOP,22,1.17
PFE,long,578,2022-02-09,2022-02-23,40.99,37.78,-1858.19,STOP_LOSS,14,-7.84
JNJ,long,40,2022-02-25,2022-02-28,141.65,144.2,101.64,T1_HIT,3,1.79
MS,long,276,2022-02-22,2022-03-02,82.32,76.56,-1588.58,STOP_LOSS,8,-6.99
CAT,long,33,2022-02-25,2022-03-03,171.47,179.23,256.39,T1_HIT,6,4.53
JPM,long,86,2022-01-25,2022-03-07,128.29,118.03,-881.68,STOP_LOSS,41,-7.99
INTC,long,371,2022-01-31,2022-03-08,44.22,44.57,128.44,POST_T1_STOP,36,0.78
JNJ,long,40,2022-02-25,2022-03-08,141.65,152.31,426.38,T2_HIT,11,7.52
CAT,long,33,2022-02-25,2022-03-08,171.47,189.02,579.17,T2_HIT,11,10.24
MCD,long,102,2022-02-25,2022-03-09,221.73,205.55,-1650.12,STOP_LOSS,12,-7.3
CAT,long,66,2022-02-25,2022-03-09,171.47,197.08,1690.71,T3_HIT,12,14.94
MCD,long,28,2022-03-11,2022-03-16,203.69,212.88,257.08,T1_HIT,5,4.51
BAC,long,142,2022-03-07,2022-03-17,35.85,38.08,316.22,T1_HIT,10,6.21
JNJ,long,81,2022-02-25,2022-03-22,141.65,155.67,1135.21,T3_HIT,25,9.89
MCD,long,28,2022-03-11,2022-03-22,203.69,214.84,312.15,T2_HIT,11,5.47
BAC,long,142,2022-03-07,2022-03-23,35.85,39.26,483.26,T2_HIT,16,9.49
C,long,407,2022-03-07,2022-03-29,47.34,49.27,787.75,TIME_STOP,22,4.09
MCD,long,57,2022-03-11,2022-03-30,203.69,224.33,1176.35,T3_HIT,19,10.13
BAC,long,286,2022-03-07,2022-04-18,35.85,33.6,-644.6,STOP_LOSS,42,-6.29
AMAT,long,144,2022-04-07,2022-04-27,114.77,104.45,-1486.4,STOP_LOSS,20,-8.99
XOM,long,82,2022-04-26,2022-04-29,71.6,76.29,383.95,T1_HIT,3,6.54
XOM,long,82,2022-04-26,2022-05-05,71.6,79.66,660.74,T2_HIT,9,11.25
CVX,long,44,2022-04-26,2022-05-05,134.01,142.82,387.61,T1_HIT,9,6.57
CAT,long,30,2022-04-29,2022-05-05,198.15,207.18,271.09,T1_HIT,6,4.56
ABBV,long,44,2022-05-02,2022-05-06,125.89,128.49,114.44,T1_HIT,4,2.07
CVX,long,44,2022-04-26,2022-05-09,134.01,141.55,331.55,T2_HIT,13,5.62
BA,long,103,2022-04-28,2022-05-10,156.61,136.76,-2044.55,STOP_LOSS,12,-12.67
AAPL,long,70,2022-01-25,2022-05-12,155.42,139.96,-1082.5,STOP_LOSS,107,-9.95
PFE,long,151,2022-05-03,2022-05-13,38.79,40.32,230.24,T1_HIT,10,3.93
XOM,long,162,2022-04-26,2022-05-17,71.6,80.21,1393.65,T3_HIT,21,12.01
MSFT,long,20,2022-05-13,2022-05-17,248.42,256.87,169.12,T1_HIT,4,3.4
AAPL,long,33,2022-05-13,2022-05-18,141.74,143.96,73.11,T1_HIT,5,1.56
CAT,long,88,2022-04-29,2022-05-23,198.15,186.25,-1046.88,STOP_LOSS,24,-6.0
