symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,return_pct,gross_pnl,hold_days
NKE,long,148,2022-09-07,2022-09-26,97.81,89.45,-8.56,-1238.51,19
AAPL,long,96,2022-09-19,2022-10-03,146.58,135.68,-7.43,-1046.08,14
NKE,long,203,2022-09-26,2022-10-03,89.45,77.38,-13.49,-2448.95,7
MRK,short,111,2022-05-18,2022-10-27,81.38,89.21,-9.62,-869.38,162
LLY,short,43,2022-09-29,2022-10-27,324.12,348.41,-7.49,-1044.14,28
META,long,81,2022-10-24,2022-10-28,126.14,98.71,-21.74,-2221.76,4
AMZN,long,95,2022-10-14,2022-10-31,114.1,103.56,-9.24,-1001.3,17
HON,short,107,2022-10-27,2022-11-03,176.46,182.85,-3.63,-684.5,7
AMZN,long,105,2022-10-31,2022-11-03,103.56,92.47,-10.71,-1164.45,3
LMT,short,45,2022-10-25,2022-11-09,410.99,443.3,-7.86,-1454.14,15
GS,short,54,2022-11-03,2022-11-11,317.11,346.77,-9.35,-1601.51,8
SBUX,short,196,2022-11-07,2022-11-14,83.72,89.22,-6.57,-1077.27,7
ABBV,short,126,2022-11-15,2022-12-06,134.26,143.57,-6.94,-1173.4,21
NKE,short,154,2022-12-22,2023-01-09,106.71,116.71,-9.37,-1540.0,18
LLY,long,56,2023-01-23,2023-02-03,337.33,324.04,-3.94,-744.48,11
NFLX,long,520,2023-02-24,2023-03-10,31.93,29.79,-6.7,-1112.8,14
CVX,long,58,2022-12-19,2023-03-14,147.17,138.12,-6.14,-524.4,85
BAC,long,660,2023-03-13,2023-03-16,26.62,26.12,-1.87,-328.0,3
AAPL,short,93,2023-03-07,2023-04-04,151.37,164.07,-8.39,-1181.48,28
LLY,short,55,2023-04-05,2023-04-24,349.62,376.14,-7.58,-1458.51,19
NVDA,short,532,2023-04-19,2023-05-18,27.3,30.35,-11.14,-1618.75,29
NVDA,short,442,2023-05-26,2023-05-31,37.81,39.41,-4.22,-704.87,5
NKE,long,180,2023-05-22,2023-06-01,105.67,97.55,-7.68,-1461.29,10
NFLX,short,497,2023-05-31,2023-06-12,39.19,41.88,-6.87,-1338.92,12
NVDA,short,310,2023-05-31,2023-06-20,39.41,42.91,-8.9,-1087.25,20
QCOM,long,172,2023-08-04,2023-08-21,110.33,102.91,-6.73,-1276.32,17
NKE,long,160,2023-08-24,2023-09-26,92.72,84.83,-8.51,-1262.34,33
CVX,long,67,2023-03-14,2023-11-09,138.12,127.28,-7.85,-726.32,240
MSFT,short,44,2023-10-26,2023-11-13,333.37,360.47,-8.13,-1192.29,18
SBUX,short,211,2023-11-03,2023-11-17,93.85,100.51,-7.1,-1406.86,14
BA,short,95,2023-11-14,2023-11-24,207.25,220.61,-6.45,-1269.2,10
HD,short,68,2023-11-15,2023-12-07,283.64,306.21,-7.96,-1534.87,22
NKE,short,181,2023-11-30,2023-12-12,104.19,113.19,-8.64,-1629.83,12
AMD,short,143,2023-12-11,2023-12-13,130.56,137.97,-5.68,-1059.63,2
PFE,long,757,2023-12-04,2023-12-14,24.68,22.75,-7.79,-1454.7,10
INTC,short,398,2023-12-15,2023-12-27,45.33,49.96,-10.21,-1841.95,12
C,short,415,2023-12-07,2023-12-29,44.53,47.89,-7.55,-1395.38,22
AMAT,short,56,2023-12-18,2024-01-25,157.67,173.62,-10.12,-893.43,38
AMD,short,103,2024-01-19,2024-01-25,165.8,183.41,-10.62,-1813.83,6
LLY,short,29,2024-02-01,2024-02-06,636.21,729.26,-14.62,-2698.28,5
GE,short,179,2024-01-23,2024-02-14,100.35,112.43,-12.04,-2163.11,22
NFLX,short,334,2024-01-25,2024-02-16,55.19,59.69,-8.15,-1503.0,22
QCOM,short,63,2024-01-23,2024-03-05,145.16,157.22,-8.31,-759.55,42
NVDA,short,187,2024-02-26,2024-03-05,79.56,85.12,-6.99,-1040.49,8
AMD,short,69,2024-03-05,2024-03-11,200.5,203.01,-1.25,-173.19,6
MU,short,136,2024-03-05,2024-03-22,93.49,108.43,-15.98,-2031.62,17
C,short,323,2024-03-06,2024-03-22,53.51,57.24,-6.96,-1202.4,16
MU,short,129,2024-03-22,2024-03-26,108.43,118.04,-8.86,-1239.92,4
MU,short,113,2024-03-27,2024-04-04,118.34,129.25,-9.23,-1233.6,8
LLY,short,22,2024-05-22,2024-06-11,789.97,869.99,-10.13,-1760.49,20
UNH,short,17,2024-05-17,2024-07-18,497.75,539.59,-8.41,-711.24,62
NVDA,long,102,2024-07-26,2024-07-31,116.0,112.71,-2.83,-335.03,5
MRK,long,74,2024-03-11,2024-08-01,115.25,105.89,-8.12,-692.51,143
WFC,long,250,2024-07-15,2024-08-06,54.51,49.96,-8.36,-1139.51,22
NFLX,long,212,2024-07-18,2024-08-06,65.66,60.06,-8.53,-1186.78,19
NVDA,long,83,2024-08-05,2024-08-06,91.91,103.67,12.8,976.13,1
HD,short,52,2024-09-18,2024-10-09,367.55,401.92,-9.35,-1786.91,21
BAC,short,485,2024-10-16,2024-11-07,40.58,43.31,-6.7,-1319.71,22
GS,short,38,2024-10-17,2024-11-07,513.08,569.83,-11.06,-2156.53,21
KO,long,304,2024-10-24,2024-11-14,64.36,60.04,-6.71,-1312.95,21
WMT,short,233,2024-11-20,2024-12-04,85.25,91.99,-7.91,-1571.19,14
UNH,long,18,2024-10-18,2024-12-13,543.75,496.53,-8.69,-850.07,56
C,short,286,2025-01-07,2025-01-16,71.2,74.98,-5.32,-1082.84,9
NVDA,long,59,2025-01-14,2025-01-28,135.85,121.63,-10.47,-838.91,14
NVDA,long,91,2025-01-30,2025-02-04,122.92,116.79,-4.99,-557.91,5
MRK,long,110,2024-11-18,2025-02-05,90.99,85.86,-5.64,-564.55,79
JPM,short,82,2025-01-17,2025-02-07,246.65,269.1,-9.1,-1840.79,21
MRK,long,237,2025-02-05,2025-02-18,85.86,77.06,-10.24,-2084.56,13
AMD,long,101,2025-02-06,2025-02-28,110.93,99.56,-10.25,-1148.37,22
MS,long,161,2025-02-26,2025-03-07,126.32,115.01,-8.96,-1821.55,9
META,long,29,2025-03-05,2025-03-11,637.85,592.12,-7.17,-1326.0,6
WMT,long,163,2025-02-25,2025-03-13,93.09,83.8,-9.97,-1513.29,16
HD,long,40,2025-02-25,2025-03-14,370.36,339.46,-8.34,-1236.14,17
IWM,long,95,2025-02-26,2025-03-14,212.77,197.19,-7.32,-1480.03,16
BAC,long,364,2025-03-07,2025-04-04,40.19,34.34,-14.57,-2132.0,28
AMAT,long,113,2025-03-24,2025-04-04,153.93,127.81,-16.97,-2951.96,11
C,long,120,2025-03-11,2025-04-07,65.28,54.48,-16.54,-1295.63,27
CSCO,long,329,2025-03-24,2025-04-07,59.05,51.98,-11.97,-2324.55,14
LLY,long,23,2025-03-28,2025-04-07,812.57,691.61,-14.89,-2782.19,10
MSFT,long,51,2025-04-01,2025-04-08,371.0,364.67,-1.71,-322.72,7
AMD,long,105,2025-04-08,2025-04-09,86.15,79.22,-8.04,-727.65,1
MSFT,short,42,2025-05-02,2025-05-20,427.53,451.98,-5.72,-1026.73,18
MU,short,141,2025-05-13,2025-06-04,92.31,102.12,-10.62,-1382.51,22
MU,short,153,2025-06-06,2025-06-11,107.81,115.31,-6.96,-1147.63,5
AMD,short,129,2025-06-18,2025-06-25,128.01,140.94,-10.1,-1667.97,7
JPM,short,68,2025-06-23,2025-07-07,268.6,289.71,-7.86,-1435.14,14
AMD,short,81,2025-07-16,2025-07-29,155.31,175.21,-12.81,-1611.9,13
AMAT,long,76,2025-08-01,2025-08-18,175.31,160.63,-8.37,-1115.85,17
MU,short,100,2025-08-12,2025-09-10,124.5,139.8,-12.29,-1529.54,29
