date,pv
2021-04-19,88127.63
2021-04-20,87809.84
2021-04-21,87887.12
2021-04-22,87966.96
2021-04-23,88067.92
2021-04-26,88336.54
2021-04-27,88087.04
2021-04-28,88679.66
2021-04-29,89504.94
2021-04-30,89992.66
2021-05-03,90381.22
2021-05-04,91442.3
2021-05-05,91311.46
2021-05-06,91516.0
2021-05-07,92007.54
2021-05-10,91300.07
2021-05-11,91582.47
2021-05-12,90962.91
2021-05-13,90990.7
2021-05-14,91383.09
2021-05-17,90710.36
2021-05-18,90979.06
2021-05-19,90836.02
2021-05-20,91165.95
2021-05-21,91663.28
2021-05-24,91738.64
2021-05-25,92208.11
2021-05-26,92198.2
2021-05-27,92079.28
2021-05-28,92092.66
2021-06-01,92251.86
2021-06-02,92350.26
2021-06-03,92280.07
2021-06-04,92109.25
2021-06-07,92319.33
2021-06-08,92132.83
2021-06-09,92011.63
2021-06-10,91906.92
2021-06-11,91838.23
2021-06-14,91792.97
2021-06-15,91770.82
2021-06-16,91394.95
2021-06-17,90499.35
2021-06-18,90905.33
2021-06-21,91750.22
2021-06-22,92426.06
2021-06-23,92699.15
2021-06-24,93339.14
2021-06-25,96062.72
2021-06-28,95728.94
2021-06-29,95391.38
2021-06-30,95623.21
2021-07-01,95303.71
2021-07-02,94811.69
2021-07-06,93845.93
2021-07-07,93780.25
2021-07-08,93913.67
2021-07-09,94128.25
2021-07-12,93978.7
2021-07-13,93087.8
2021-07-14,92451.68
2021-07-15,93592.98
2021-07-16,93420.62
2021-07-19,92568.61
2021-07-20,95484.81
2021-07-21,98121.28
2021-07-22,97206.42
2021-07-23,96803.96
2021-07-26,97977.12
2021-07-27,97449.24
2021-07-28,98032.48
2021-07-29,98113.6
2021-07-30,97332.05
2021-08-02,97247.94
2021-08-03,97957.85
2021-08-04,97478.18
2021-08-05,98349.82
2021-08-06,99290.86
2021-08-09,98587.51
2021-08-10,99217.85
2021-08-11,100456.04
2021-08-12,99479.73
2021-08-13,98672.62
2021-08-16,97863.88
2021-08-17,97534.45
2021-08-18,97884.92
2021-08-19,97016.97
2021-08-20,97186.8
2021-08-23,98224.67
2021-08-24,99456.28
2021-08-25,99948.44
2021-08-26,99655.13
2021-08-27,100529.29
2021-08-30,100230.95
2021-08-31,100409.81
2021-09-01,99981.32
2021-09-02,100632.09
2021-09-03,100405.85
2021-09-07,99519.39
2021-09-08,99186.79
2021-09-09,99849.48
2021-09-10,99944.37
2021-09-13,100611.6
2021-09-14,100363.6
2021-09-15,100819.44
2021-09-16,100516.4
2021-09-17,100110.09
2021-09-20,99985.14
2021-09-21,99778.24
2021-09-22,100746.48
2021-09-23,102189.68
2021-09-24,100905.47
2021-09-27,101031.9
2021-09-28,100067.12
2021-09-29,99995.78
2021-09-30,99357.39
2021-10-01,98024.36
2021-10-04,96127.55
2021-10-05,95865.66
2021-10-06,96153.72
2021-10-07,97408.57
2021-10-08,95368.1
2021-10-11,95143.4
2021-10-12,94929.51
2021-10-13,95311.6
2021-10-14,96474.26
2021-10-15,96643.62
2021-10-18,97291.71
2021-10-19,98030.11
2021-10-20,98256.43
2021-10-21,97590.74
2021-10-22,95983.91
2021-10-25,96616.55
2021-10-26,95256.96
2021-10-27,94697.76
2021-10-28,95349.79
2021-10-29,95621.71
2021-11-01,96417.87
2021-11-02,95622.12
2021-11-03,94618.35
2021-11-04,93172.98
